"";"logFC";"logCPM";"F";"PValue";"FDR"
"MAGED1";-0,0960960494318203;4,79940593978289;0,104261609124014;0,748803851201041;0,875408102834526
"PRDM10";0,121251655789651;4,35099746282694;0,104233517318179;0,748836502125375;0,875408102834526
"GPR155";-0,127185929453389;5,74140738747712;0,104222764163068;0,748849001737136;0,875408102834526
"SYNE1";-0,164800087088509;6,37139762881845;0,104183864058774;0,748894225703251;0,875408102834526
"CBLL1";0,0964190439083689;4,66235161762104;0,104045297253415;0,749055394842331;0,875506259188589
"SYNGR2";-0,0933853520395174;7,49823502241481;0,103939794917276;0,749178185869559;0,875525650329723
"HPS6";0,168776263723193;3,44733851411638;0,103797716092786;0,749343656214039;0,875525650329723
"ASS1";0,239902971797222;3,00389519237737;0,10375064866528;0,749398500343582;0,875525650329723
"MOB3A";-0,0695642293256487;6,21248443087075;0,103740951457091;0,74940980148032;0,875525650329723
"CA11";-0,184043229638267;3,18457415773972;0,103640137342846;0,749527324994615;0,875525650329723
"TDP2";-0,101701439345163;4,94951285612209;0,103601990489662;0,749571810976971;0,875525650329723
"CNOT10";-0,104559398759931;4,21988709968192;0,103538981532486;0,749645310421734;0,875525650329723
"ZDHHC4";-0,096205305606242;4,22839724942538;0,10347277255353;0,74972256933017;0,875525650329723
"MRPL24";-0,144140361752649;4,32748545913592;0,103429659288502;0,749772892673041;0,875525650329723
"ZNF22";0,0829429415173739;5,32244354275126;0,103368769065464;0,749843985684913;0,875525650329723
"S100B";0,210735306300987;4,14760101375791;0,103235629853048;0,749999514484981;0,875617098391411
"KEAP1";-0,110681373824089;4,71993424269381;0,102793163256275;0,750517187560741;0,876131284006831
"PSMA2";-0,102023625633137;5,22227970010936;0,102711803058712;0,750612510632802;0,876149162369544
"HDHD2";-0,0886675640881021;4,81405660027669;0,102648238827981;0,750687012674796;0,876149162369544
"BCKDK";-0,109106423171966;5,45782918365656;0,102523810954605;0,750832925313378;0,876229286476541
"TSC1";0,0671312256494685;6,5513804400475;0,102411639472347;0,750964549173425;0,876292720668363
"ZSCAN25";-0,105941431181013;4,0372871951682;0,10201876741995;0,751426180861076;0,876677669418185
"POM121";0,0601086819292729;7,32654989134078;0,10199933017521;0,751449045446978;0,876677669418185
"CCDC97";-0,0674013304594132;5,13240721914131;0,101742475538824;0,751751417200868;0,876940220373899
"UBTF";-0,0721524576903698;6,54872220814772;0,101455969561179;0,752089192583954;0,877244012454451
"RARA";-0,216651450092695;3,49727501009645;0,10132480859422;0,752244000155343;0,877288161733742
"RGS12";0,0823003774968443;7,37481334922094;0,10129283573877;0,752281754065836;0,877288161733742
"TTC33";-0,112379814877367;4,28382442009379;0,101184834844351;0,752409331409851;0,877289202257701
"TVP23C-CDRT4";0,251803518453803;3,23874508769105;0,101014345583711;0,752610876945947;0,877289202257701
"ZDHHC24";0,147104872026288;3,26085907038058;0,100943243219647;0,752694986767202;0,877289202257701
"APBB1IP";0,103843951033829;8,25660648113074;0,100920102055601;0,752722368424371;0,877289202257701
"WDTC1";-0,0625236814239133;5,83664409465573;0,100915729736651;0,752727542336262;0,877289202257701
"DOCK2";-0,0653188216313413;8,26498230233783;0,100899473834914;0,752746779575848;0,877289202257701
"UVSSA";-0,10467616528524;5,13257024802328;0,100811106042689;0,752851383980476;0,877320956198375
"STX8";0,168106127155819;3,70796390718549;0,10045062385484;0,753278625787967;0,877582889444097
"ATPAF2";-0,161160554681329;3,67175083853077;0,100432843833799;0,753299720456288;0,877582889444097
"RANGAP1";-0,0830878119731087;6,73979429022491;0,100341724323188;0,75340785929777;0,877582889444097
"LIMS2";0,287179143465243;3,86268963641517;0,100294149478101;0,753464341709308;0,877582889444097
"PLEKHO2";-0,0661821864007021;7,14845703754951;0,100275143637527;0,753486910195216;0,877582889444097
"CYB5R1";0,0939513374515158;5,51188299191211;0,100226036561069;0,753545233318797;0,877582889444097
"MFAP3";-0,103965697573216;5,21091751556163;0,100164933614766;0,753617825614678;0,877582889444097
"TATDN1";0,119761231398166;3,4844932921302;0,100073402299114;0,75372661350957;0,877619458296924
"ZWILCH";0,173594206051458;3,56462766735044;0,0999311786407177;0,753895759785515;0,877657549939362
"UQCR11";0,10658691814799;4,82649286468996;0,0998418302924442;0,754002089462636;0,877657549939362
"USP53";0,146343335509218;7,16785548246219;0,0997904192433774;0,75406329534692;0,877657549939362
"GNGT2";0,151021629042648;3,42421842384521;0,0997794258367041;0,754076385473628;0,877657549939362
